"hack_threads","grow_threads","total_threads","money_per_thread"
"212","662","936","27579114823365800"
"213","669","945","27445307797268612"
"214","677","954","27314025432041180"
"215","685","964","27156996531032908"
"216","693","974","27003192042776356"
"217","701","983","26879830562983332"
"218","709","993","26731760158268948"
"219","717","1003","26586642303997516"
"220","726","1013","26444389560373104"
"221","735","1024","26279229510162500"
"222","743","1034","26142838889898308"
"223","753","1046","25959330598377904"
"224","762","1056","25828810795124750"
"225","771","1067","25676652852296330"
"226","781","1079","25503941600693812"
"227","791","1091","25335029680015644"
"228","801","1103","25169793086713976"
"229","812","1116","24985704451965916"
"230","822","1127","24849876275192910"
"231","833","1140","24673311364816540"
"232","845","1154","24479496836775824"
"233","856","1167","24311142882080330"
"234","868","1181","24126052614001852"
"235","880","1195","23945299189024796"
"236","893","1210","23749088367465350"
"237","906","1225","23557682708882876"
"238","919","1241","23352075513400460"
"239","933","1257","23151702550420376"
"240","947","1273","22956366456894628"
"241","962","1290","22748231700290936"
"242","977","1307","22545511313790164"
"243","993","1326","22314289352090650"
"244","1009","1344","22106035769807020"
"245","1026","1363","21887216777967052"
"246","1044","1384","21643093108466424"
"247","1063","1405","21406267086025604"
"248","1082","1427","21161576488867850"
"249","1103","1451","20895474874819344"
"250","1124","1474","20652034217850276"
"251","1146","1499","20388834443535530"
"252","1170","1526","20107881536440500"
"253","1195","1554","19823932830345332"
"254","1222","1584","19525351017743110"
"255","1250","1616","19214059657087584"
"256","1281","1650","18891930181576960"
"257","1314","1687","18549762414552716"
"258","1349","1726","18201166620567136"
"259","1388","1769","17827573759664964"
"260","1430","1815","17442833264240092"
"261","1478","1868","17013119255002254"
"262","1531","1926","16564003718635856"
"263","1591","1992","16076323070201354"
"264","1662","2070","15529371956323452"
"265","1747","2163","14917967796272766"
"266","1853","2278","14218318146218804"
